10,10
50,50
100,100
100,300
100,500
500,100
233,47
412,388
87,112
306,489
77,231
118,373
469,222
145,309
321,185
59,61
210,490
405,90
499,399
183,146
320,440
22,305
280,15
388,325
91,257
130,480
34,418
203,87
498,16
87,233
390,211
111,333
457,79
376,276
241,382
14,123
132,451
300,25
63,306
489,498
249,160
315,479
408,299
59,192
199,58
175,356
426,137
100,210
370,411
289,124
47,389
189,269
423,23
331,490
110,148
27,361
369,59
95,421
462,298
218,220
394,178
56,266
201,335
309,97
412,147
143,190
282,309
76,499
138,56
343,422
469,388
220,185
385,241
18,474
261,145
164,324
